,tweet,sentiment
0,ndtv anchor let go over to aap live press conference the next thing you see sanjayazadsln bashing bjp with modiadanibhaibhai probably an awkward moment for everyone in the ndtv news room ca even stop the live stream midway manishsisodia bjp aap,negative
1,sambit patra attacks rahul gandhi over his cowardice remark watch video sambitpatra rahulgandhi china newsupdate bjp congress,neutral
2,crediting the bjp with taking development to smaller cities and towns pmmodi said the speed of growth has increased under the double engine govt he said shivamoggaairport had been inaugurated at a time when the number of air travellers was rising,neutral
3,ktrbrs do do false allegations on iasassociation use smart ass kapilsibal pbhushan1 if burns so much go to court fear of losing power why on social media what proof do you have do jump too much you are not clean regards to haram earnings sanggitat ushanirmala bjp,positive
4,gujarat assembly yet to get rs cr as gst compensation says minister arjunmodhwadia bjp congress gst gstcompensation gujarat gujaratassembly narendramodi rbi,neutral
5,bjp guna mp yadav pulled up over laxmi bai swipe at union minister jyotiradityascindia family read,neutral
6,bjp holds protest against pulwama killing,neutral
7,bjp has created worldrecord in misusing central agencies like no other democratically elected in any part of the world g20india g20 democracy cbi,positive
8,full video here manishsisodiaarrested manishsisodia prayagraj modihaitomumkinhai modi souravganguly electionresults electionresults2023 kejriwal kejriwalexposed delhiliquorscam aap bjp liquorscam tajinderbagga smritiirani,positive
9,pm modi holds massive in karnataka narendramodi karnataka belagavi bjp bengaluru karnatakaelection2023,neutral
10,happy birthday shivamogga bsybjp kicchasudeep kicchasudeep𓃵 shivamoggaairport bjp,positive
11,annamalai bjp bjpfails bjp4india gayathriraghuram pmmodi electionresults electionresults2023 erodeeastbyelection erode epfo prayagraj congressvoiceofindia congress rahulgandhi modi ammk dmdk kamalhaasan pass it,neutral
12,msisodia are you a part of rumourmongeringgroupofaap have you not heard that he has been jailed for misdeeds he has committed as exciseminister a educationminister has nothing to do with liquorpolicy manishsisodiaarrested manishsisodiachorhai delhiliquorscam bjp,neutral
13,when party gets nothing in delhi legislative assembly then only way to create a supremacy is to take down by using central power aap bjp arvindkejriwal aajtak freespeech delhiliquorscam waiting for the right decision,positive
14,arrest of manish sisodia massive protest outside bjp office jammu manishsisodiaarrested manishsisodia jammu bjp bjp4jnk msisodia,negative
15,me ed and cbi will arrest modi shah and adani within 2 hours aap sanjay singh lashes out at bjp over manish sisodia arrest,negative
16,httweets bjp is also playing with the lives of hindus of jammu and kashmir from last 9 years your take on this sir,neutral
17,the illusion of normalcy in kashmir unveiling the indian government s settler agenda kashmir iiojk india modigovt agenda bjp,neutral
18,lol this is funny raga bjp cong congressvoiceofindia,positive
19,let us not break society with such kinds of petitions please have the country in mind not any religion justice nagarathna tells upadhyay india supremecourtofindia modiji bjp congressvoiceofindia rahulgandhi,neutral
20,watch cbi brought delhi deputy cm manish sisodia to rouse avenue court bjp aap bjp4india bjp4jnk adityarajkaul imravinderraina narendramodi mehboobamufti,neutral
21,bjp4tamilnadu bjp4india khushsundar if she really wants to fight for women right she has to first fight perverted bjp rss and affiliated fascist organizations throughout india,positive
22,mehboobp1 bjp was looting and putting in adanis pockets but aap was also seem to be looting delhi,neutral
23,amitranabjp do you think bjp4india is clean why can not you give free hand to cbi then you can see how many bjp people are behind the bar,positive
24,uppolice umeshpal atiqahmad prayagraj encounter uppolice arbaaz yogiadityanath akhileshyadav bjp samajwadiparty breakingnews,neutral
25,the arrest of delhi dy cm manishsisodia by cbi is another example of how bjp misuses the union government agencies to intimidate the opposition it a blatant abuse of power amp an attack on democracy tweets kerala cm pinarayi vijayan ani,negative
26,the arrest of delhi deputy chief minister manish sisodia triggered massive political outrage in the national capital as aap called it a political vendetta and vowed to launch nationwide protests against bjp manishsisodia arvindkejriwal bjp aap party,negative
27,bjp clean sweeps egranaskarpur cooperative elections in purbamedinipur westbengal bjp won 9 seats while tmc 0,positive
28,wish you happy birthday bsyadiyurappa bjpgovernment bjp bjpkarnataka modi modiji narendramodiji bjpgovt mp election politician cheifminister primeminister indiancelebrity celebrity bluecrystals gifts birthday birthdaygifts,positive
29,bjp leader and khushbusundar has been nominated as a member of the national commission for women ncw,neutral
30,if you pick up 1successful initiative out of modi ji govt then it alone stand still with bjp 2defend thousands of allegations of all oppositions in our india modi 9yrs regime vs 67yrs other is like hell amp focus on ekbharat shresthbharat,negative
31,verbally and u call it evidence seriously what if one says someone from bjp verbal directed to do so and so will the judiciary believe it let see whether the judiciary takes this kind of arguments,positive
32,me ed and cbi will arrest modi shah and adani within 2 hours aap sanjay singh lashes out at bjp over manish sisodia arrest,negative
33,investors short selling on stocks is not a scam its the part of trading probably whosoever is trending adaniscam has never traded in life the truth is biggest problem of inc right now is that bjp is doing any corruption which can be proved in courts,positive
34,fir on comment on pm sc extends bail to congress spokesperson pawan khera till friday fir pm modi narendramodi pawaankhera congress bjp,neutral
35,govt is just diverting focus from adani issue by arresting sisodia sisodiaarrest aap bjp congress ndtv media government cbi ed,neutral
36,are you a part of rumourmongeringgroupofaap have you not heard that he has been jailed for misdeeds he has committed as exciseminister a educationminister has nothing to do with liquorpolicy manishsisodiaarrested manishsisodiachorhai delhiliquorscam bjp sanjayazadsln,neutral
37,ashokepandit hmm why are u peeting ur chhati on murder of kashmiripandits when you yourself are part of propaganda of bjp,negative
38,bjp former union minister umabharti on monday welcomed madhya pradesh cm shivrajsinghchouhan at her official residence bharti welcomed shivraj by offering flowers and applying on his forehead,neutral
39,world powers have to check the indian fascist designs under the bjp rule which may engulf the complete southasian region in a state of war operationswiftretort balakot pakistanzindabad,positive
40,vote for bjp to ensure unstoppable growth and development in the northeast states choose modi for peace and development and vote for the bjp for doubleengine govt arvinddamani,neutral
41,the petition had also sought the archaeological survey of india to be directed to prepare a list of such names under the citizens right to know of the constitution bjp,positive
42,vote for bjp to ensure unstoppable growth and development in the northeast states choose modi for peace and development and vote for the bjp for doubleengine govt,neutral
43,signs of emergency says aap as it claims 80 of its leaders arrested since sunday aamaadmiparty aap bhopal bjp cbi chandigarh delhi delhiliquorscam delhiliquorscam,neutral
